racksSingle103,racks/racksSingle103/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse label order
14.52,23.785,0,0,90,0,H,none,5H062,5H064,
14.52,24.815,0,0,90,0,H,none,5H066,5H068,
14.52,25.845,0,0,90,0,H,none,5H070,5H072,
,,,,,,,,,,
14.52,31.055,0,0,90,0,H,none,5H090,5H092,Aisle 5H (continued)
14.52,32.085,0,0,90,0,H,none,5H094,5H096,
14.52,33.115,0,0,90,0,H,none,5H098,5H100,
14.52,34.145,0,0,90,0,H,none,5H102,5H104,
14.52,35.175,0,0,90,0,H,none,5H106,5H108,
14.52,36.205,0,0,90,0,H,none,5H110,5H112,
14.52,37.235,0,0,90,0,H,none,5H114,5H116,
14.52,38.265,0,0,90,0,H,none,5H118,5H120,
14.52,39.295,0,0,90,0,H,none,5H122,5H124,
14.52,40.325,0,0,90,0,H,none,5H126,5H128,
,,,,,,,,,,
16.28,9.365,0,0,-90,0,H,none,5H007,5H005,Aisle 5H-R
16.28,10.395,0,0,-90,0,H,none,5H011,5H009,
16.28,11.425,0,0,-90,0,H,none,5H015,5H013,
16.28,12.455,0,0,-90,0,H,none,5H019,5H017,
16.28,13.485,0,0,-90,0,H,none,5H023,5H021,
16.28,14.515,0,0,-90,0,H,none,5H027,5H025,
16.28,15.545,0,0,-90,0,H,none,5H031,5H029,
16.28,16.575,0,0,-90,0,H,none,5H035,5H033,
16.28,17.605,0,0,-90,0,H,none,5H039,5H037,
16.28,18.635,0,0,-90,0,H,none,5H043,5H041,
16.28,19.665,0,0,-90,0,H,none,5H047,5H045,
16.28,20.695,0,0,-90,0,H,none,5H051,5H049,
16.28,21.725,0,0,-90,0,H,none,5H055,5H053,
16.28,22.755,0,0,-90,0,H,none,5H059,5H057,
16.28,23.785,0,0,-90,0,H,none,5H063,5H061,
16.28,24.815,0,0,-90,0,H,none,5H067,5H065,
16.28,25.845,0,0,-90,0,H,none,5H071,5H069,
,,,,,,,,,,
16.28,31.055,0,0,-90,0,H,none,5H091,5H089,Aisle 5H-R (continued)
16.28,32.085,0,0,-90,0,H,none,5H095,5H093,
16.28,33.115,0,0,-90,0,H,none,5H099,5H097,
16.28,34.145,0,0,-90,0,H,none,5H103,5H101,
16.28,35.175,0,0,-90,0,H,none,5H107,5H105,
16.28,36.205,0,0,-90,0,H,none,5H111,5H109,
16.28,37.235,0,0,-90,0,H,none,5H115,5H113,
16.28,38.265,0,0,-90,0,H,none,5H119,5H117,
16.28,39.295,0,0,-90,0,H,none,5H123,5H121,
16.28,40.325,0,0,-90,0,H,none,5H127,5H125,
,,,,,,,,,,
16.98,9.365,0,0,90,0,J,none,5J006,5J008,Aisle 5J
16.98,10.395,0,0,90,0,J,none,5J010,5J012,
16.98,11.425,0,0,90,0,J,none,5J014,5J016,
16.98,12.455,0,0,90,0,J,none,5J018,5J020,
16.98,13.485,0,0,90,0,J,none,5J022,5J024,
16.98,14.515,0,0,90,0,J,none,5J026,5J028,
16.98,15.545,0,0,90,0,J,none,5J030,5J032,
16.98,16.575,0,0,90,0,J,none,5J034,5J036,
16.98,17.605,0,0,90,0,J,none,5J038,5J040,
16.98,18.635,0,0,90,0,J,none,5J042,5J044,
16.98,19.665,0,0,90,0,J,none,5J046,5J048,
16.98,20.695,0,0,90,0,J,none,5J050,5J052,
16.98,21.725,0,0,90,0,J,none,5J054,5J056,
16.98,22.755,0,0,90,0,J,none,5J058,5J060,
16.98,23.785,0,0,90,0,J,none,5J062,5J064,
16.98,24.815,0,0,90,0,J,none,5J066,5J068,
16.98,25.845,0,0,90,0,J,none,5J070,5J072,
,,,,,,,,,,
16.98,31.055,0,0,90,0,J,none,5J090,5J092,Aisle 5J (continued)
16.98,32.085,0,0,90,0,J,none,5J094,5J096,
16.98,33.115,0,0,90,0,J,none,5J098,5J100,
16.98,34.145,0,0,90,0,J,none,5J102,5J104,
16.98,35.175,0,0,90,0,J,none,5J106,5J108,
16.98,36.205,0,0,90,0,J,none,5J110,5J112,
16.98,37.235,0,0,90,0,J,none,5J114,5J116,
16.98,38.265,0,0,90,0,J,none,5J118,5J120,
16.98,39.295,0,0,90,0,J,none,5J122,5J124,
16.98,40.325,0,0,90,0,J,none,5J126,5J128,
,,,,,,,,,,
19.92,9.365,0,0,90,0,K,none,5K006,5K008,Aisle 5K
19.92,10.395,0,0,90,0,K,none,5K010,5K012,
19.92,11.425,0,0,90,0,K,none,5K014,5K016,
19.92,12.455,0,0,90,0,K,none,5K018,5K020,
19.92,13.485,0,0,90,0,K,none,5K022,5K024,
19.92,14.515,0,0,90,0,K,none,5K026,5K028,
19.92,15.545,0,0,90,0,K,none,5K030,5K032,
19.92,16.575,0,0,90,0,K,none,5K034,5K036,
19.92,17.605,0,0,90,0,K,none,5K038,5K040,
19.92,18.635,0,0,90,0,K,none,5K042,5K044,
19.92,19.665,0,0,90,0,K,none,5K046,5K048,
19.92,20.695,0,0,90,0,K,none,5K050,5K052,
19.92,21.725,0,0,90,0,K,none,5K054,5K056,
19.92,22.755,0,0,90,0,K,none,5K058,5K060,
19.92,23.785,0,0,90,0,K,none,5K062,5K064,
19.92,24.815,0,0,90,0,K,none,5K066,5K068,
19.92,25.845,0,0,90,0,K,none,5K070,5K072,
,,,,,,,,,,
19.92,31.055,0,0,90,0,K,none,5K090,5K092,Aisle 5K (continued)
19.92,32.085,0,0,90,0,K,none,5K094,5K096,
19.92,33.115,0,0,90,0,K,none,5K098,5K100,
19.92,34.145,0,0,90,0,K,none,5K102,5K104,
19.92,35.175,0,0,90,0,K,none,5K106,5K108,
19.92,36.205,0,0,90,0,K,none,5K110,5K112,
19.92,37.235,0,0,90,0,K,none,5K114,5K116,
19.92,38.265,0,0,90,0,K,none,5K118,5K120,
19.92,39.295,0,0,90,0,K,none,5K122,5K124,
19.92,40.325,0,0,90,0,K,none,5K126,5K128,
,,,,,,,,,,
21.68,9.365,0,0,-90,0,K,none,5K007,5K005,Aisle 5K-R
21.68,10.395,0,0,-90,0,K,none,5K011,5K009,
21.68,11.425,0,0,-90,0,K,none,5K015,5K013,
21.68,12.455,0,0,-90,0,K,none,5K019,5K017,
21.68,13.485,0,0,-90,0,K,none,5K023,5K021,
21.68,14.515,0,0,-90,0,K,none,5K027,5K025,
21.68,15.545,0,0,-90,0,K,none,5K031,5K029,
21.68,16.575,0,0,-90,0,K,none,5K035,5K033,
21.68,17.605,0,0,-90,0,K,none,5K039,5K037,
21.68,18.635,0,0,-90,0,K,none,5K043,5K041,
21.68,19.665,0,0,-90,0,K,none,5K047,5K045,
21.68,20.695,0,0,-90,0,K,none,5K051,5K049,
21.68,21.725,0,0,-90,0,K,none,5K055,5K053,
21.68,22.755,0,0,-90,0,K,none,5K059,5K057,
21.68,23.785,0,0,-90,0,K,none,5K063,5K061,
