racksDouble103,racks/racksDouble103/,,,,,,,,,
xml,,,,,,,,,,
X Pos,Neg Z Pos,Y Pos,Rot X,Rot Y,Rot Z,Aisle Label,Rack Side,Bin Label,Bin Label,The 'R' symbol means reverse the label order
11.07,32.635,0,0,-90,0,D,none,4D097,4D095,
11.07,33.665,0,0,-90,0,D,none,4D101,4D099,
11.07,34.695,0,0,-90,0,D,none,4D105,4D103,
11.07,35.725,0,0,-90,0,D,none,4D109,4D107,
11.07,36.755,0,0,-90,0,D,none,4D113,4D111,
11.07,37.785,0,0,-90,0,D,none,4D117,4D115,
,,,,,,,,,,
18.98,9.365,0,0,-90,0,J,none,5J007,5J005,Aisle 5J-R
18.98,10.395,0,0,-90,0,J,none,5J011,5J009,
18.98,11.425,0,0,-90,0,J,none,5J015,5J013,
18.98,12.455,0,0,-90,0,J,none,5J019,5J017,
18.98,13.485,0,0,-90,0,J,none,5J023,5J021,
18.98,14.515,0,0,-90,0,J,none,5J027,5J025,
18.98,15.545,0,0,-90,0,J,none,5J031,5J029,
18.98,16.575,0,0,-90,0,J,none,5J035,5J033,
18.98,17.605,0,0,-90,0,J,none,5J039,5J037,
18.98,18.635,0,0,-90,0,J,none,5J043,5J041,
18.98,19.665,0,0,-90,0,J,none,5J047,5J045,
18.98,20.695,0,0,-90,0,J,none,5J051,5J049,
18.98,21.725,0,0,-90,0,J,none,5J055,5J053,
18.98,22.755,0,0,-90,0,J,none,5J059,5J057,
18.98,23.785,0,0,-90,0,J,none,5J063,5J061,
18.98,24.815,0,0,-90,0,J,none,5J067,5J065,
18.98,25.845,0,0,-90,0,J,none,5J071,5J069,
,,,,,,,,,,
18.98,31.055,0,0,-90,0,J,none,5J091,5J089,5J-R (cont)
18.98,32.085,0,0,-90,0,J,none,5J095,5J093,
18.98,33.115,0,0,-90,0,J,none,5J099,5J097,
18.98,34.145,0,0,-90,0,J,none,5J103,5J101,
18.98,35.175,0,0,-90,0,J,none,5J107,5J105,
18.98,36.205,0,0,-90,0,J,none,5J111,5J109,
18.98,37.235,0,0,-90,0,J,none,5J115,5J113,
18.98,38.265,0,0,-90,0,J,none,5J119,5J117,
18.98,39.295,0,0,-90,0,J,none,5J123,5J121,
18.98,40.325,0,0,-90,0,J,none,5J127,5J125,
,,,,,,,,,,
24.24,9.365,0,0,-90,0,L,none,5L007,5L005,Aisle 5L-R
24.24,10.395,0,0,-90,0,L,none,5L011,5L009,
24.24,11.425,0,0,-90,0,L,none,5L015,5L013,
24.24,12.455,0,0,-90,0,L,none,5L019,5L017,
24.24,13.485,0,0,-90,0,L,none,5L023,5L021,
24.24,14.515,0,0,-90,0,L,none,5L027,5L025,
24.24,15.545,0,0,-90,0,L,none,5L031,5L029,
24.24,16.575,0,0,-90,0,L,none,5L035,5L033,
24.24,17.605,0,0,-90,0,L,none,5L039,5L037,
24.24,18.635,0,0,-90,0,L,none,5L043,5L041,
24.24,19.665,0,0,-90,0,L,none,5L047,5L045,
24.24,20.695,0,0,-90,0,L,none,5L051,5L049,
24.24,21.725,0,0,-90,0,L,none,5L055,5L053,
24.24,22.755,0,0,-90,0,L,none,5L059,5L057,
24.24,23.785,0,0,-90,0,L,none,5L063,5L061,
24.24,24.815,0,0,-90,0,L,none,5L067,5L065,
24.24,25.845,0,0,-90,0,L,none,5L071,5L069,
,,,,,,,,,,
24.24,31.055,0,0,-90,0,L,none,5L091,5L089,5L-R (cont)
24.24,32.085,0,0,-90,0,L,none,5L095,5L093,
24.24,33.115,0,0,-90,0,L,none,5L099,5L097,
24.24,34.145,0,0,-90,0,L,none,5L103,5L101,
24.24,35.175,0,0,-90,0,L,none,5L107,5L105,
24.24,36.205,0,0,-90,0,L,none,5L111,5L109,
24.24,37.235,0,0,-90,0,L,none,5L115,5L113,
24.24,38.265,0,0,-90,0,L,none,5L119,5L117,
24.24,39.295,0,0,-90,0,L,none,5L123,5L121,
24.24,40.325,0,0,-90,0,L,none,5L127,5L125,
,,,,,,,,,,
27.34,11.365,0,0,-90,0,M,none,6M015,6M013,Aisle 6M-R
27.34,12.395,0,0,-90,0,M,none,6M019,6M017,
27.34,13.425,0,0,-90,0,M,none,6M023,6M021,
27.34,14.455,0,0,-90,0,M,none,6M027,6M025,
27.34,15.485,0,0,-90,0,M,none,6M031,6M029,
27.34,16.515,0,0,-90,0,M,none,6M035,6M033,
27.34,17.545,0,0,-90,0,M,none,6M039,6M037,
27.34,18.575,0,0,-90,0,M,none,6M043,6M041,
27.34,19.605,0,0,-90,0,M,none,6M047,6M045,
27.34,20.635,0,0,-90,0,M,none,6M051,6M049,
27.34,21.665,0,0,-90,0,M,none,6M055,6M053,
27.34,22.695,0,0,-90,0,M,none,6M059,6M057,
27.34,23.725,0,0,-90,0,M,none,6M063,6M061,
27.34,24.755,0,0,-90,0,M,none,6M067,6M065,
27.34,25.785,0,0,-90,0,M,none,6M071,6M069,
,,,,,,,,,,
27.34,30.995,0,0,-90,0,M,none,6M091,6M089,6M-R (cont)
27.34,32.025,0,0,-90,0,M,none,6M095,6M093,
27.34,33.055,0,0,-90,0,M,none,6M099,6M097,
27.34,34.085,0,0,-90,0,M,none,6M103,6M101,
27.34,35.115,0,0,-90,0,M,none,6M107,6M105,
27.34,36.145,0,0,-90,0,M,none,6M111,6M109,
27.34,37.175,0,0,-90,0,M,none,6M115,6M113,
27.34,38.205,0,0,-90,0,M,none,6M119,6M117,
27.34,39.235,0,0,-90,0,M,none,6M123,6M121,
27.34,40.265,0,0,-90,0,M,none,6M127,6M125,
27.34,41.295,0,0,-90,0,M,none,6M131,6M129,
27.34,42.325,0,0,-90,0,M,none,6M135,6M133,
27.34,43.355,0,0,-90,0,M,none,6M139,6M137,
27.34,44.385,0,0,-90,0,M,none,6M143,6M141,
,,,,,,,,,,
28.4,11.365,0,0,90,0,N,none,6N014,6N016,Aisle 6N
28.4,12.395,0,0,90,0,N,none,6N018,6N020,
28.4,13.425,0,0,90,0,N,none,6N022,6N024,
28.4,14.455,0,0,90,0,N,none,6N026,6N028,
28.4,15.485,0,0,90,0,N,none,6N030,6N032,
28.4,16.515,0,0,90,0,N,none,6N034,6N036,
28.4,17.545,0,0,90,0,N,none,6N038,6N040,
28.4,18.575,0,0,90,0,N,none,6N042,6N044,
28.4,19.605,0,0,90,0,N,none,6N046,6N048,
28.4,20.635,0,0,90,0,N,none,6N050,6N052,
28.4,21.665,0,0,90,0,N,none,6N054,6N056,
28.4,22.695,0,0,90,0,N,none,6N058,6N060,
28.4,23.725,0,0,90,0,N,none,6N062,6N064,
28.4,24.755,0,0,90,0,N,none,6N066,6N068,
28.4,25.785,0,0,90,0,N,none,6N070,6N072,
,,,,,,,,,,
28.4,30.995,0,0,90,0,N,none,6N090,6N092,6N (cont)
28.4,32.025,0,0,90,0,N,none,6N094,6N096,
28.4,33.055,0,0,90,0,N,none,6N098,6N100,
28.4,34.085,0,0,90,0,N,none,6N102,6N104,
28.4,35.115,0,0,90,0,N,none,6N106,6N108,
28.4,36.145,0,0,90,0,N,none,6N110,6N112,
28.4,37.175,0,0,90,0,N,none,6N114,6N116,
28.4,38.205,0,0,90,0,N,none,6N118,6N120,
28.4,39.235,0,0,90,0,N,none,6N122,6N124,
28.4,40.265,0,0,90,0,N,none,6N126,6N128,
28.4,41.295,0,0,90,0,N,none,6N130,6N132,
28.4,42.325,0,0,90,0,N,none,6N134,6N136,
28.4,43.355,0,0,90,0,N,none,6N138,6N140,
28.4,44.385,0,0,90,0,N,none,6N142,6N144,
,,,,,,,,,,
30.64,11.365,0,0,-90,0,N,none,6N015,6N013,Aisle 6N-R
30.64,12.395,0,0,-90,0,N,none,6N019,6N017,
30.64,13.425,0,0,-90,0,N,none,6N023,6N021,
30.64,14.455,0,0,-90,0,N,none,6N027,6N025,
30.64,15.485,0,0,-90,0,N,none,6N031,6N029,
30.64,16.515,0,0,-90,0,N,none,6N035,6N033,
30.64,17.545,0,0,-90,0,N,none,6N039,6N037,
30.64,18.575,0,0,-90,0,N,none,6N043,6N041,
30.64,19.605,0,0,-90,0,N,none,6N047,6N045,
30.64,20.635,0,0,-90,0,N,none,6N051,6N049,
30.64,21.665,0,0,-90,0,N,none,6N055,6N053,
30.64,22.695,0,0,-90,0,N,none,6N059,6N057,
30.64,23.725,0,0,-90,0,N,none,6N063,6N061,
30.64,24.755,0,0,-90,0,N,none,6N067,6N065,
30.64,25.785,0,0,-90,0,N,none,6N071,6N069,
,,,,,,,,,,
30.64,30.995,0,0,-90,0,N,none,6N091,6N089,6N-R (cont)
30.64,32.025,0,0,-90,0,N,none,6N095,6N093,
30.64,33.055,0,0,-90,0,N,none,6N099,6N097,
30.64,34.085,0,0,-90,0,N,none,6N103,6N101,
30.64,35.115,0,0,-90,0,N,none,6N107,6N105,
30.64,36.145,0,0,-90,0,N,none,6N111,6N109,
30.64,37.175,0,0,-90,0,N,none,6N115,6N113,
30.64,38.205,0,0,-90,0,N,none,6N119,6N117,
30.64,39.235,0,0,-90,0,N,none,6N123,6N121,
30.64,40.265,0,0,-90,0,N,none,6N127,6N125,
30.64,41.295,0,0,-90,0,N,none,6N131,6N129,
30.64,42.325,0,0,-90,0,N,none,6N135,6N133,
30.64,43.355,0,0,-90,0,N,none,6N139,6N137,
30.64,44.385,0,0,-90,0,N,none,6N143,6N141,
,,,,,,,,,,
31.82,11.365,0,0,90,0,P,none,6P014,6P016,Aisle 6P
31.82,12.395,0,0,90,0,P,none,6P018,6P020,
31.82,13.425,0,0,90,0,P,none,6P022,6P024,
31.82,14.455,0,0,90,0,P,none,6P026,6P028,
31.82,15.485,0,0,90,0,P,none,6P030,6P032,
31.82,16.515,0,0,90,0,P,none,6P034,6P036,
31.82,17.545,0,0,90,0,P,none,6P038,6P040,
31.82,18.575,0,0,90,0,P,none,6P042,6P044,
31.82,19.605,0,0,90,0,P,none,6P046,6P048,
31.82,20.635,0,0,90,0,P,none,6P050,6P052,
31.82,21.665,0,0,90,0,P,none,6P054,6P056,
31.82,22.695,0,0,90,0,P,none,6P058,6P060,
31.82,23.725,0,0,90,0,P,none,6P062,6P064,
31.82,24.755,0,0,90,0,P,none,6P066,6P068,
31.82,25.785,0,0,90,0,P,none,6P070,6P072,
,,,,,,,,,,
31.82,30.995,0,0,90,0,P,none,6P090,6P092,6P (cont)
31.82,32.025,0,0,90,0,P,none,6P094,6P096,
31.82,33.055,0,0,90,0,P,none,6P098,6P100,
31.82,34.085,0,0,90,0,P,none,6P102,6P104,
31.82,35.115,0,0,90,0,P,none,6P106,6P108,
31.82,36.145,0,0,90,0,P,none,6P110,6P112,
31.82,37.175,0,0,90,0,P,none,6P114,6P116,
31.82,38.205,0,0,90,0,P,none,6P118,6P120,
31.82,39.235,0,0,90,0,P,none,6P122,6P124,
31.82,40.265,0,0,90,0,P,none,6P126,6P128,
31.82,41.295,0,0,90,0,P,none,6P130,6P132,
31.82,42.325,0,0,90,0,P,none,6P134,6P136,
31.82,43.355,0,0,90,0,P,none,6P138,6P140,
31.82,44.385,0,0,90,0,P,none,6P142,6P144,
,,,,,,,,,,
34.06,11.365,0,0,-90,0,P,none,6P015,6P013,Aisle 6P-R
34.06,12.395,0,0,-90,0,P,none,6P019,6P017,
34.06,13.425,0,0,-90,0,P,none,6P023,6P021,
34.06,14.455,0,0,-90,0,P,none,6P027,6P025,
34.06,15.485,0,0,-90,0,P,none,6P031,6P029,
34.06,16.515,0,0,-90,0,P,none,6P035,6P033,
34.06,17.545,0,0,-90,0,P,none,6P039,6P037,
34.06,18.575,0,0,-90,0,P,none,6P043,6P041,
34.06,19.605,0,0,-90,0,P,none,6P047,6P045,
34.06,20.635,0,0,-90,0,P,none,6P051,6P049,
34.06,21.665,0,0,-90,0,P,none,6P055,6P053,
34.06,22.695,0,0,-90,0,P,none,6P059,6P057,
34.06,23.725,0,0,-90,0,P,none,6P063,6P061,
34.06,24.755,0,0,-90,0,P,none,6P067,6P065,
34.06,25.785,0,0,-90,0,P,none,6P071,6P069,
,,,,,,,,,,
34.06,30.995,0,0,-90,0,P,none,6P091,6P089,6M-P (cont)
34.06,32.025,0,0,-90,0,P,none,6P095,6P093,
34.06,33.055,0,0,-90,0,P,none,6P099,6P097,
34.06,34.085,0,0,-90,0,P,none,6P103,6P101,
34.06,35.115,0,0,-90,0,P,none,6P107,6P105,
34.06,36.145,0,0,-90,0,P,none,6P111,6P109,
34.06,37.175,0,0,-90,0,P,none,6P115,6P113,
34.06,38.205,0,0,-90,0,P,none,6P119,6P117,
34.06,39.235,0,0,-90,0,P,none,6P123,6P121,
34.06,40.265,0,0,-90,0,P,none,6P127,6P125,
34.06,41.295,0,0,-90,0,P,none,6P131,6P129,
34.06,42.325,0,0,-90,0,P,none,6P135,6P133,
34.06,43.355,0,0,-90,0,P,none,6P139,6P137,
34.06,44.385,0,0,-90,0,P,none,6P143,6P141,
,,,,,,,,,,
35.12,11.365,0,0,90,0,Q,none,6Q014,6Q016,Aisle 6Q
35.12,12.395,0,0,90,0,Q,none,6Q018,6Q020,
35.12,13.425,0,0,90,0,Q,none,6Q022,6Q024,
35.12,14.455,0,0,90,0,Q,none,6Q026,6Q028,
35.12,15.485,0,0,90,0,Q,none,6Q030,6Q032,
35.12,16.515,0,0,90,0,Q,none,6Q034,6Q036,
35.12,17.545,0,0,90,0,Q,none,6Q038,6Q040,
35.12,18.575,0,0,90,0,Q,none,6Q042,6Q044,
35.12,19.605,0,0,90,0,Q,none,6Q046,6Q048,
35.12,20.635,0,0,90,0,Q,none,6Q050,6Q052,
35.12,21.665,0,0,90,0,Q,none,6Q054,6Q056,
35.12,22.695,0,0,90,0,Q,none,6Q058,6Q060,
35.12,23.725,0,0,90,0,Q,none,6Q062,6Q064,
35.12,24.755,0,0,90,0,Q,none,6Q066,6Q068,
35.12,25.785,0,0,90,0,Q,none,6Q070,6Q072,
,,,,,,,,,,
35.12,30.995,0,0,90,0,Q,none,6Q090,6Q092,6Q (cont)
35.12,32.025,0,0,90,0,Q,none,6Q094,6Q096,
35.12,33.055,0,0,90,0,Q,none,6Q098,6Q100,
35.12,34.085,0,0,90,0,Q,none,6Q102,6Q104,
35.12,35.115,0,0,90,0,Q,none,6Q106,6Q108,
35.12,36.145,0,0,90,0,Q,none,6Q110,6Q112,
35.12,37.175,0,0,90,0,Q,none,6Q114,6Q116,
35.12,38.205,0,0,90,0,Q,none,6Q118,6Q120,
35.12,39.235,0,0,90,0,Q,none,6Q122,6Q124,
35.12,40.265,0,0,90,0,Q,none,6Q126,6Q128,
35.12,41.295,0,0,90,0,Q,none,6Q130,6Q132,
35.12,42.325,0,0,90,0,Q,none,6Q134,6Q136,
35.12,43.355,0,0,90,0,Q,none,6Q138,6Q140,
35.12,44.385,0,0,90,0,Q,none,6Q142,6Q144,
,,,,,,,,,,
37.36,11.365,0,0,-90,0,Q,none,6Q015,6Q013,Aisle 6Q-R
37.36,12.395,0,0,-90,0,Q,none,6Q019,6Q017,
37.36,13.425,0,0,-90,0,Q,none,6Q023,6Q021,
37.36,14.455,0,0,-90,0,Q,none,6Q027,6Q025,
37.36,15.485,0,0,-90,0,Q,none,6Q031,6Q029,
37.36,16.515,0,0,-90,0,Q,none,6Q035,6Q033,
37.36,17.545,0,0,-90,0,Q,none,6Q039,6Q037,
